"You will be transferred to jovepay.com to complete your purchase when using this payment method.","You will be transferred to jovepay.com to complete your purchase when using this payment method."
"Pay with JOVEpay","Pay with JOVEpay"
"JOVEpay","JOVEpay"
"JOVEpay Payment Method","JOVEpay Payment Method"
"Continue","Continue"
"Bitcoin","Bitcoin"
"Ethereum","Ethereum"
"Tether","Tether"
"BNB","BNB"
"Order canceled after JOVEpay payment failure or cancel.","Order canceled after JOVEpay payment failure or cancel."
"Order marked canceled after JOVEpay payment failure or cancel.","Order marked canceled after JOVEpay payment failure or cancel."
"Invalid signature.","Invalid signature."
"Invalid IPN payload.","Invalid IPN payload."
"Missing order identifier.","Missing order identifier."
"Order is no longer awaiting payment.","Order is no longer awaiting payment."
"Currency code does not match.","Currency code does not match."
"Amount paid is less than order total.","Amount paid is less than order total."
"Unable to process IPN.","Unable to process IPN."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Notified customer about invoice #%1.","Notified customer about invoice #%1."
"JOVEpay payment status: failed.","JOVEpay payment status: failed."
"JOVEpay payment status: %1","JOVEpay payment status: %1"
"%1 = %2","%1 = %2"
"Error in payment!","Error in payment!"
"Enabled","Enabled"
"Testnet Mode","Testnet Mode"
"Enable to process payments on the JOVEpay test network.","Enable to process payments on the JOVEpay test network."
"Dark Mode Checkout","Dark Mode Checkout"
"Use the dark theme on the JOVEpay hosted payment page.","Use the dark theme on the JOVEpay hosted payment page."
"Title","Title"
"Payment method title shown to customers at checkout.","Payment method title shown to customers at checkout."
"Merchant ID","Merchant ID"
"Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value.","Find this in jovepay.com under Payment Settings → API Keys. Re-save after upgrading to encrypt the value."
"IPN Secret","IPN Secret"
"Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value.","Find this in jovepay.com under Payment Settings → Instant Payment Notifications. Re-save after upgrading to encrypt the value."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"New Order Status","New Order Status"
"Status after Magento checkout completes and before JOVEpay confirms payment.","Status after Magento checkout completes and before JOVEpay confirms payment."
"Paid Order Status","Paid Order Status"
"Status after JOVEpay confirms funds and notifies Magento via IPN.","Status after JOVEpay confirms funds and notifies Magento via IPN."
"Debug","Debug"
"Write detailed JOVEpay IPN messages to var/log/jovepay.log.","Write detailed JOVEpay IPN messages to var/log/jovepay.log."
